Student_ID,Name,Skills,Preferred_Role,CGPA,Mock_OA_Score,Projects,Internships_Done,Placed_Status
2025CS10000,Student_0,"CSS, JavaScript, HTML, SQL, Node.js, Express.js",Full Stack Developer,6.21,62,3,1,0
2025CS10001,Student_1,"CI/CD, AWS, Linux, Jenkins",DevOps Engineer,7.2,90,4,0,1
2025CS10002,Student_2,"NumPy, Pandas, Scikit-learn, Machine Learning, SQL",Data Scientist,7.01,48,2,1,0
2025CS10003,Student_3,"Tailwind CSS, JavaScript, Git, Node.js, SQL",Full Stack Developer,8.92,54,4,1,1
2025CS10004,Student_4,"Python, PyTorch, Pandas, Data Science, Scikit-learn",Data Scientist,7.52,46,4,1,0
2025CS10005,Student_5,"Tailwind CSS, CSS, Redux, JavaScript, TypeScript, Angular",Frontend Developer,7.91,79,0,2,1
2025CS10006,Student_6,"Linux, Azure, Jenkins",DevOps Engineer,9.56,69,3,1,1
2025CS10007,Student_7,"Sketch, Adobe XD, CSS, HTML, Wireframing, User Research",UI/UX Designer,6.3,66,2,1,0
2025CS10008,Student_8,"CI/CD, Azure, Linux, Docker, Jenkins",DevOps Engineer,7.4,64,4,0,0
2025CS10009,Student_9,"System Design, Java, Git, SQL, Data Structures",Software Engineer,6.5,71,5,2,1
2025CS10010,Student_10,"Linux, Networking, Windows Server, Bash, Virtualization, AWS",System Administrator,6.08,91,3,2,1
2025CS10011,Student_11,"Automation Testing, Python, SQL, Selenium",QA Engineer,8.73,47,2,1,0
2025CS10012,Student_12,"Deep Learning, SQL, TensorFlow, Pandas",Data Scientist,8.45,96,2,0,1
2025CS10013,Student_13,"Linux, Kubernetes, Bash Scripting, AWS",DevOps Engineer,6.52,66,6,0,0
2025CS10014,Student_14,"Virtualization, Linux, Windows Server",System Administrator,8.85,40,5,2,1
2025CS10015,Student_15,"Sketch, CSS, HTML, Wireframing, Figma",UI/UX Designer,9.45,93,5,3,1
2025CS10016,Student_16,"Data Analysis, Agile, Communication, Product Management, Roadmapping",Product Manager,9.11,47,4,3,1
2025CS10017,Student_17,"Data Analysis, JIRA, Product Management, Roadmapping, SQL",Product Manager,9.44,53,3,0,0
2025CS10018,Student_18,"System Design, Java, Python, C++, Algorithms, Data Structures",Software Engineer,7.43,57,6,2,1
2025CS10019,Student_19,"Node.js, MongoDB, Java, PostgreSQL",Backend Developer,8.6,79,0,3,1
2025CS10020,Student_20,"Azure, Linux, Windows Server, Virtualization, Express.js, AWS",System Administrator,7.12,90,3,1,1
2025CS10021,Student_21,"HTML, SQL, Node.js, Express.js",Full Stack Developer,6.42,65,0,1,0
2025CS10022,Student_22,"Java, Python, Git, C++, Algorithms",Software Engineer,6.26,50,6,3,1
2025CS10023,Student_23,"Python, Automation Testing, Manual Testing, SQL, Selenium",QA Engineer,6.89,85,1,0,0
2025CS10024,Student_24,"Automation Testing, SQL, Java",QA Engineer,8.37,89,0,2,1
2025CS10025,Student_25,"System Design, Python, Git",Software Engineer,9.8,90,5,2,1
2025CS10026,Student_26,"Power BI, R, Python, Tableau, SQL, Excel",Data Analyst,6.99,52,5,2,1
2025CS10027,Student_27,"CSS, Git, JavaScript, React, Node.js",Full Stack Developer,6.48,97,6,1,1
2025CS10028,Student_28,"CI/CD, Git, Bash Scripting",DevOps Engineer,6.46,67,4,0,0
2025CS10029,Student_29,"Wireframing, Figma, Adobe XD",UI/UX Designer,9.51,45,1,2,1
2025CS10030,Student_30,"Sketch, Adobe XD, Kubernetes, User Research, Prototyping, Wireframing, Figma",UI/UX Designer,7.35,57,1,0,0
2025CS10031,Student_31,"Deep Learning, Python, PyTorch, Tableau, SQL",Data Scientist,9.47,59,1,1,1
2025CS10032,Student_32,"Java, Python, Automation Testing, SQL, Selenium",QA Engineer,6.57,47,5,0,0
2025CS10033,Student_33,"Data Analysis, Agile, Communication, Product Management, Roadmapping",Product Manager,8.32,68,1,0,0
2025CS10034,Student_34,"Data Analysis, JIRA, Agile, Communication, Roadmapping, SQL",Product Manager,9.57,62,6,0,1
