Internship_ID,Company,Role,Location,Stipend,Required_Skills,Description
INT_5000,TechSol,Software Engineer,Delhi,15000,"Data Structures, C++, Algorithms, SQL, Java","Join TechSol as a Software Engineer. We need expertise in Data Structures, C++."
INT_5001,Solstice Tech,Software Engineer,Mumbai,5000,"Git, SQL, Java","Join Solstice Tech as a Software Engineer. We need expertise in Git, SQL."
INT_5002,Omega Corp,UI/UX Designer,Pune,12000,"Sketch, Prototyping, CSS, HTML, Adobe XD","Join Omega Corp as a UI/UX Designer. We need expertise in Sketch, Prototyping."
INT_5003,Meridian Soft,DevOps Engineer,Remote,20000,"Jenkins, Linux, Kubernetes, Bash Scripting, AWS","Join Meridian Soft as a DevOps Engineer. We need expertise in Jenkins, Linux."
INT_5004,Quantum Bits,Machine Learning Engineer,Chennai,10000,"MLOps, AWS, TensorFlow, Machine Learning, Docker","Join Quantum Bits as a Machine Learning Engineer. We need expertise in MLOps, AWS."
INT_5005,NextLevel Tech,QA Engineer,Mumbai,10000,"Python, SQL, JIRA, Automation Testing","Join NextLevel Tech as a QA Engineer. We need expertise in Python, SQL."
INT_5006,Universal Tech,Machine Learning Engineer,Hyderabad,20000,"MLOps, Deep Learning, Machine Learning, AWS, Docker","Join Universal Tech as a Machine Learning Engineer. We need expertise in MLOps, Deep Learning."
INT_5007,Future Systems,Full Stack Developer,Hyderabad,10000,"SQL, React, JavaScript, MongoDB, Express.js","Join Future Systems as a Full Stack Developer. We need expertise in SQL, React."
INT_5008,Fusion Labs,Mobile App Developer,Pune,Unpaid,"Swift, Kotlin, Java, Android Studio","Join Fusion Labs as a Mobile App Developer. We need expertise in Swift, Kotlin."
INT_5009,CoreSystems,UI/UX Designer,Chennai,10000,"Sketch, Prototyping, CSS, Adobe XD","Join CoreSystems as a UI/UX Designer. We need expertise in Sketch, Prototyping."
INT_5010,Meridian Soft,Data Scientist,Chennai,5000,"Deep Learning, NumPy, SQL","Join Meridian Soft as a Data Scientist. We need expertise in Deep Learning, NumPy."
